Comment,Designator,Footprint,LCSC,Quantity
10kÎ©,"R10,R11,R12,R8,R9",R_0402,C25744,5
10uF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C5,C6,C7,C8,C9",C_0805,C440198,44
XR30N06F,Q1,TDSON-8-1,,1
SS38,D6,D_SMA,,1
XR30N06F,Q2,TDSON-8-1,,1
SS38,D3,D_SMA,,1
SS38,D5,D_SMA,,1
XR30N06F,Q3,TDSON-8-1,,1
XR30N06F,Q4,TDSON-8-1,,1
SS38,D2,D_SMA,,1
SS38,D4,D_SMA,,1
Molex_Micro-Fit_3.0 2x2,J1,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,,1
AMASS XT60,J7,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,,1
Molex_Micro-Fit_3.0 2x2,J5,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,,1
09031967921,J6,DIN41612_R_3x32_Female_Horizontal_THT,,1
Molex_Micro-Fit_3.0 2x2,J2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,,1
Molex_Micro-Fit_3.0 2x2,J4,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,,1
Molex_Micro-Fit_3.0 2x2,J3,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,,1
